name,SMILES
Mol1,CCCCNc1nc(c(cn1)C(=O)NC2CC[NH+](CC2)C(C)C)N[C@H]3CC[C@@H](CC3)O
Mol2,COc1ccc(cc1)CCN2C(=O)/C(=C/c3cc4c(cc3OC)OCO4)/SC2=S
Mol3,Cc1ccccc1C2CC[NH+](CC2)C[C@H](Cn3cc(cn3)N(=O)=O)O
Mol4,c1cc(ccc1c2ccc3cnc(nc3c2)N)NC(=S)Nc4ccc(c(c4)Cl)Cl
Mol5,CC(C)NC(=O)[C@H]1CN(C[C@@H]1c2ccnc(n2)N3CCCC3)C(=O)c4ccn[nH]4
Mol6,c1cc(ccc1Nc2c3nccn3cc(n2)c4ccc5cn[nH]c5c4)N6CCCOCC6
Mol7,CC[C@H](Cc1ccc(cc1)N(=O)=O)C(=O)Nc2cccc(c2)N3CCCC3=O
Mol8,Cc1ccc(cc1Nc2c3cnn(c3ncn2)c4ccc(cc4)F)C(=O)NC
Mol9,CC(C)(C)c1cc(n(n1)c2ccccc2)NC(=O)COC(=O)CC3C(=O)Nc4ccccc4S3
Mol10,COc1cc(c(cc1OC)N(=O)=O)C(=O)N(CCc2ccccc2)C3CCCC3
Mol11,C[NH+](C)CCCNS(=O)(=O)c1ccc2c(c1)c3ccnc(c3[nH]2)C(=O)N
Mol12,c1ccc(cc1)CC(=O)NC(=S)Nc2ccc(cc2)Oc3ccnc4c3scc4
Mol13,Cc1cnc(c(n1)NC[C@H](c2cccc(c2)F)[NH+](C)C)C
Mol14,CCOC[C@H](C)[NH2+][C@@H]1CCC(C[C@@H]1C)(C)C
Mol15,O=C1Cc2cc(ccc2CCN1c3ccccc3)c4ccnc5[nH]ccc45